ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): WEST VIRGINIA

School Name,State Name [Public School] Latest available year,School ID (7-digit) – NCES Assigned [Public School] 2024-25,School Name [Public School] 2024-25,County Name [Public School] 2024-25,Locale [Public School] 2024-25,Locale [Public School] 2023-24,Locale [Public School] 2022-23,Locale [Public School] 2021-22,Locale [Public School] 2020-21,Locale [Public School] 2019-20,Locale [Public School] 2018-19,Locale [Public School] 2017-18,Locale [Public School] 2016-17,Locale [Public School] 2015-16,Locale [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2024-25,Reduced-price Lunch Eligible Students [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2022-23,Reduced-price Lunch Eligible Students [Public School] 2021-22,Reduced-price Lunch Eligible Students [Public School] 2020-21,Reduced-price Lunch Eligible Students [Public School] 2019-20,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2024-25,Free and Reduced Lunch Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2022-23,Free and Reduced Lunch Students [Public School] 2021-22,Free and Reduced Lunch Students [Public School] 2020-21,Free and Reduced Lunch Students [Public School] 2019-20,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15
BARNES LEARNING CENTER (ALC),West Virginia,5400997,Barnes Learning Center (ALC),Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,–,–,†,–,–,0,–,–,0,0,0,–,–,†,–,–,–,–,–,–,†,0,–,–,†,–,–,–,–,–,–,†,0,–,–,†,–,–,–,–,–,–,†,0
BARRACKVILLE ELEMENTARY/MIDDLE SCHOOL,West Virginia,5400542,Barrackville Elementary/Middle School,Marion County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,321,346,339,336,349,364,357,349,360,356,374,–,–,–,–,–,–,–,–,129,138,146,–,–,–,–,–,–,–,–,33,21,30,–,–,–,–,144,157,157,155,162,159,176
BEALE ELEMENTARY SCHOOL,West Virginia,5400609,Beale Elementary School,Mason County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,218,218,230,251,243,254,252,264,273,292,307,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,143,149,149,183,142,187,176
BECKLEY CENTER,West Virginia,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,23-Suburb: Small,23-Suburb: Small,†,†,†,29,23,0,†,–,31,23,33,†,†,†,–,–,–,–,–,28,20,30,†,†,†,–,–,–,–,–,0,0,0,†,†,†,–,3,4,4,–,28,20,30
BECKLEY ELEMENTARY,West Virginia,5401176,Beckley Elementary,Raleigh County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,260,282,320,313,323,355,402,459,433,428,391,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,260,326,326,362,340,333,270
BECKLEY-STRATTON MIDDLE SCHOOL,West Virginia,5400940,Beckley-Stratton Middle School,Raleigh County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,590,634,674,663,688,654,679,684,693,671,647,–,–,–,–,–,–,–,–,427,422,365,–,–,–,–,–,–,–,–,54,43,37,–,–,–,–,482,497,496,482,481,465,402
BEDINGTON ELEMENTARY SCHOOL,West Virginia,5400013,Bedington Elementary School,Berkeley County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,216,193,210,195,180,173,156,155,145,152,168,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,95,91,91,96,70,70,78
BEECH BOTTOM PRIMARY,West Virginia,†,†,†,†,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,109,96,115,106,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,–,–,–,–,†,†,†,†,†,†,†,77,42,53,31
BELINGTON ELEMENTARY,West Virginia,5400001,Belington Elementary,Barbour County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,280,291,294,283,274,295,310,313,339,332,330,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,135,157,157,191,132,168,145
BELINGTON MIDDLE SCHOOL,West Virginia,5400002,Belington Middle School,Barbour County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,248,267,261,259,271,289,318,291,287,285,285,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,116,152,152,173,97,115,112
BELLE ELEMENTARY SCHOOL,West Virginia,5400359,Belle Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,255,278,291,287,283,289,264,256,262,273,287,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,160,145,145,154,117,129,135
BELMONT ELEMENTARY SCHOOL,West Virginia,5401265,Belmont Elementary School,Pleasants County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,232,233,235,213,204,212,197,213,208,216,231,–,–,–,–,–,–,–,–,92,96,97,–,–,–,–,–,–,–,–,12,17,15,–,–,–,–,94,91,91,113,104,113,112
BEN FRANKLIN CAREER CENTER,West Virginia,5400361,Ben Franklin Career Center,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,†,†,†,–,–,0,–,–,12,7,6,†,†,†,–,–,–,–,–,3,–,0,†,†,†,–,–,–,–,–,0,–,0,†,†,†,–,–,–,–,–,3,0,0
BERKELEY HEIGHTS ELEMENTARY SCHOOL,West Virginia,5401222,Berkeley Heights Elementary School,Berkeley County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,695,700,680,652,665,752,816,815,780,830,980,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,427,510,510,509,410,453,464
BERKELEY SPRINGS HIGH SCHOOL,West Virginia,5400819,Berkeley Springs High School,Morgan County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,582,605,621,652,653,642,643,679,684,719,757,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,270,248,248,351,237,244,222
BERLIN MCKINNEY ELEMENTARY SCHOOL,West Virginia,5401274,Berlin McKinney Elementary School,Wyoming County,42-Rural: Distant,42-Rural: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,372,374,360,348,334,357,390,382,365,388,415,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,185,213,213,237,181,202,190
BETHLEHEM ELEMENTARY SCHOOL,West Virginia,5400853,Bethlehem Elementary School,Ohio County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,125,133,125,118,113,133,122,125,117,131,131,–,–,–,–,–,–,–,–,–,28,37,–,–,–,–,–,–,–,–,–,4,5,–,–,–,–,30,31,31,31,14,32,42
BEVERLY ELEMENTARY SCHOOL,West Virginia,5400992,Beverly Elementary School,Randolph County,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,226,243,240,261,258,269,263,245,221,217,227,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,164,163,163,159,107,119,108
BIG ELM ELEMENTARY SCHOOL,West Virginia,5400586,Big Elm Elementary School,Harrison County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,567,591,624,628,623,684,716,717,709,713,740,–,–,–,–,–,–,–,–,–,–,363,–,–,–,–,–,–,–,–,–,–,42,–,–,–,–,291,370,370,391,266,340,405
BIG OTTER ELEMENTARY SCHOOL,West Virginia,5401467,Big Otter Elementary School,Clay County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,184,170,196,196,208,230,242,261,250,251,251,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,122,163,163,177,146,145,146
BIRCH RIVER ELEMENTARY SCHOOL,West Virginia,5400828,Birch River Elementary School,Nicholas County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,64,78,77,77,86,90,101,95,105,106,113,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,44,61,61,69,49,56,59
BLACKSHERE ELEMENTARY SCHOOL,West Virginia,5400104,Blackshere Elementary School,Marion County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,328,327,333,339,323,346,349,345,356,389,390,–,–,–,–,–,–,–,–,–,219,209,–,–,–,–,–,–,–,–,–,34,31,–,–,–,–,185,214,214,220,197,253,240
BLENNERHASSETT ELEMENTARY SCHOOL,West Virginia,5401142,Blennerhassett Elementary School,Wood County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,522,527,539,533,497,485,463,493,452,439,435,–,–,–,–,–,–,–,–,187,208,173,–,–,–,–,–,–,–,–,14,13,14,–,–,–,–,235,209,209,265,201,221,187
BLENNERHASSETT MIDDLE SCHOOL,West Virginia,5401365,Blennerhassett Middle School,Wood County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,534,520,509,481,476,486,482,528,533,548,536,–,–,–,–,–,–,–,–,225,247,209,–,–,–,–,–,–,–,–,17,15,15,–,–,–,–,201,222,222,272,242,262,224
BLUE RIDGE ELEMENTARY SCHOOL,West Virginia,5400340,Blue Ridge Elementary School,Jefferson County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,372,407,407,405,391,443,459,475,477,321,302,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,192,249,249,263,226,127,100
BLUE RIDGE PRIMARY,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,41-Rural: Fringe,41-Rural: Fringe,†,†,†,†,†,†,†,†,†,175,204,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,91,99
BLUEFIELD ALTERNATIVE LEARNING CENTER,WEST VIRGINIA,†,†,†,†,†,†,†,†,†,†,32-Town: Distant,32-Town: Distant,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†,†,†,†,†,†,†,–,†,†,†
BLUEFIELD HIGH SCHOOL,West Virginia,5400674,Bluefield High School,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,618,639,608,631,599,585,609,636,662,675,690,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,356,366,366,413,312,328,295
BLUEFIELD INTERMEDIATE SCHOOL,West Virginia,5401101,Bluefield Intermediate School,Mercer County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,269,303,289,313,284,331,338,355,344,327,305,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,198,247,247,284,218,221,183
BLUEFIELD MIDDLE SCHOOL,West Virginia,5400737,Bluefield Middle School,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,428,425,467,506,547,516,493,444,490,500,541,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,348,316,316,317,267,287,286
BLUEFIELD PRIMARY SCHOOL,WEST VIRGINIA,5401601,Bluefield Primary School,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,†,†,†,†,†,†,349,358,346,327,268,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,–,–,–,–,–,†,†,†,†,†,†,–,–,–,–,195,†,†,†,†,†,†
BLUEWELL ELEMENTARY SCHOOL,West Virginia,5400675,Bluewell Elementary School,Mercer County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,167,170,168,178,194,197,192,198,200,198,207,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,106,116,116,132,108,113,109
BOARD OF CHILD CARE,West Virginia,†,†,†,†,†,†,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,†,†,†,22,14,0,†,–,15,5,49,†,†,†,–,–,–,–,–,11,–,46,†,†,†,–,–,–,–,–,0,–,0,†,†,†,–,6,11,11,–,11,–,46
BOONE CAREER AND TECHNICAL CENTER,West Virginia,5400036,Boone Career And Technical Center,Boone County,42-Rural: Distant,42-Rural: Distant,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,–,–,0,–,–,0,0,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0,†,†,†,–,–,–,–,–,–,†,0
BRADLEY ELEMENTARY SCHOOL,West Virginia,5400941,Bradley Elementary School,Raleigh County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,305,338,354,380,362,424,438,448,433,437,530,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,201,243,243,220,197,204,243
BRADSHAW ELEMENTARY SCHOOL,West Virginia,5401398,Bradshaw Elementary School,McDowell County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,42-Rural: Distant,42-Rural: Distant,214,256,272,252,256,288,293,281,268,264,254,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,172,212,212,231,180,176,172
BRANDYWINE ELEMENTARY SCHOOL,West Virginia,5400878,Brandywine Elementary School,Pendleton County,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,42-Rural: Distant,114,106,107,104,95,95,105,97,97,112,126,–,–,–,–,–,–,–,–,47,65,53,–,–,–,–,–,–,–,–,12,12,27,–,–,–,–,44,58,58,59,59,77,80
BRAXTON COUNTY HIGH SCHOOL,West Virginia,5400061,Braxton County High School,Braxton County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,481,507,503,516,522,553,549,549,571,580,610,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,233,238,238,318,175,201,201
BRAXTON COUNTY MIDDLE SCHOOL,West Virginia,5400006,Braxton County Middle School,Braxton County,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,43-Rural: Remote,376,382,383,388,402,412,425,287,296,313,296,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,214,211,211,185,106,133,110
BRIDGE ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,†,†,†,†,86,86,105,107,135,140,159,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,58,71,71,69,80,82,81
BRIDGE STREET MIDDLE SCHOOL,West Virginia,5400854,Bridge Street Middle School,Ohio County,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,263,278,278,298,315,302,323,319,337,310,324,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,135,122,122,173,109,126,108
BRIDGEPORT HIGH SCHOOL,West Virginia,5400284,Bridgeport High School,Harrison County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,817,814,808,851,825,833,830,790,753,762,724,–,–,–,–,–,–,–,–,120,122,102,–,–,–,–,–,–,–,–,23,24,16,–,–,–,–,152,185,185,178,143,146,118
BRIDGEPORT MIDDLE SCHOOL,West Virginia,5400285,Bridgeport Middle School,Harrison County,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,590,581,603,589,650,653,645,609,630,592,606,–,–,–,–,–,–,–,–,131,123,103,–,–,–,–,–,–,–,–,21,18,11,–,–,–,–,173,170,170,158,152,141,114
BRIDGEVIEW ELEMENTARY SCHOOL,West Virginia,5400063,Bridgeview Elementary School,Kanawha County,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,22-Suburb: Mid-size,417,421,421,402,412,426,447,475,474,467,475,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,270,295,295,328,242,273,253
BROADVIEW ELEMENTARY SCHOOL,West Virginia,†,†,†,†,†,†,†,†,†,†,†,†,†,13-City: Small,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BROOKE HANCOCK ALTERNATIVE LEARNING CTR,WEST VIRGINIA,†,†,†,†,†,†,†,†,13-City: Small,13-City: Small,†,†,†,†,†,†,†,†,†,0,–,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†,†,†,†,†,†,–,–,†,†,†,†
BROOKE HIGH SCHOOL,West Virginia,5400075,Brooke High School,Brooke County,23-Suburb: Small,23-Suburb: Small,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,855,967,1033,1022,1018,1025,1017,993,966,1020,1038,–,–,–,–,–,–,–,–,–,425,350,–,–,–,–,–,–,–,–,–,56,66,–,–,–,–,377,271,271,428,258,481,416
BROOKE INTERMEDIATE SCHOOL NORTH,WEST VIRGINIA,5401585,Brooke Intermediate School North,Brooke County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,172,163,167,187,188,185,204,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,93,68,68,†,†,†,†
BROOKE INTERMEDIATE SCHOOL SOUTH,WEST VIRGINIA,5401581,Brooke Intermediate School South,Brooke County,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,121,92,107,138,136,167,184,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,62,58,58,†,†,†,†
BROOKE MIDDLE SCHOOL,WEST VIRGINIA,5401582,Brooke Middle School,Brooke County,23-Suburb: Small,23-Suburb: Small,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,†,†,†,605,662,693,774,812,861,912,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,329,281,281,†,†,†,†
BROOKE PRIMARY SCHOOL NORTH,WEST VIRGINIA,5401584,Brooke Primary School North,Brooke County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,257,250,251,261,249,262,288,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,117,107,107,†,†,†,†
BROOKE PRIMARY SCHOOL SOUTH,WEST VIRGINIA,5401583,Brooke Primary School South,Brooke County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,†,†,†,203,204,228,200,188,191,228,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,–,–,–,†,†,†,†,–,–,–,–,92,84,84,†,†,†,†
BROOKHAVEN ELEMENTARY SCHOOL,West Virginia,5400762,Brookhaven Elementary School,Monongalia County,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,23-Suburb: Small,550,538,571,581,552,606,579,592,586,582,583,–,–,–,–,–,–,–,–,193,225,205,–,–,–,–,–,–,–,–,31,32,37,–,–,–,–,217,274,274,270,224,257,242
